2026-04-02 18:06:01.522: [INFO] VisibilityChanged: 0
2026-04-02 18:06:01.620: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-04-02 18:06:01.621: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-04-02 18:06:01.621: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-04-02 18:06:01.622: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-04-02 18:06:01.622: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-04-02 18:06:01.623: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-04-02 18:06:01.623: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-04-02 18:06:01.624: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-04-02 18:06:01.625: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-04-02 18:06:01.625: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-04-02 18:06:01.626: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-04-02 18:06:01.626: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-04-02 18:06:01.631: [INFO] BookmarkModelLoaded, ids_reassigned: 0
2026-04-02 18:06:01.631: [INFO] OnDoneLoading sync enabled: 0
2026-04-02 18:06:01.688: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-04-02 18:06:02.160: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 3
2026-04-02 18:06:02.162: [INFO] Primary account changed.
2026-04-02 18:06:02.162: [INFO] OnPrimaryAccountChanged PrimaryAccountChangeEvent::Type::kSet
2026-04-02 18:06:02.166: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 3
2026-04-02 18:06:02.187: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 3
2026-04-02 18:06:05.330: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-02 18:06:05.331: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-02 18:06:05.332: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-02 18:06:05.332: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-02 18:06:05.333: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-02 18:06:05.333: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-02 18:06:05.334: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-02 18:06:05.335: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-02 18:06:05.335: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-02 18:06:05.336: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-02 18:06:05.336: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-02 18:06:05.337: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-02 18:06:05.337: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-02 18:06:05.338: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-02 18:06:05.338: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-02 18:06:05.339: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-02 18:06:05.339: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-02 18:06:05.340: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-02 18:06:05.341: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-02 18:06:05.341: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-02 18:06:05.342: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-02 18:06:05.343: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-02 18:06:05.343: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-02 18:06:05.344: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-02 18:06:05.345: [INFO] BookmarkNodeAdded, ABU: 0
